Issue Type,Summary,Description,Epic Link,Story Points,Sprint,Priority
Story,UC-13: Female patients over 40 with knee surgery (past year),"As a business analyst, I want to know: female patients over 40 with knee surgery (past year), so I can act on the insight. Output persisted to Project-Output.out_female_over40_knee_surgery.",Use Case Result Generation,3,Sprint 2 - Implementation & Testing (Week 2),Medium
Story,Cleanse Patients dataset,"Read raw Patients data from S3, count nulls per column, replace nulls with 'NA' marker, drop duplicate records, load cleansed data into Redshift staging table bootcamp.patients.",Data Ingestion & Cleansing,3,Sprint 2 - Implementation & Testing (Week 2),High
Story,Cleanse Subscriber dataset,"Read raw Subscriber data from S3, count nulls per column, replace nulls with 'NA' marker, drop duplicate records, load cleansed data into Redshift staging table bootcamp.subscriber.",Data Ingestion & Cleansing,3,Sprint 2 - Implementation & Testing (Week 2),High
Story,Cleanse Claims dataset,"Read raw Claims data from S3, count nulls per column, replace nulls with 'NA' marker, drop duplicate records, load cleansed data into Redshift staging table bootcamp.claims.",Data Ingestion & Cleansing,3,Sprint 2 - Implementation & Testing (Week 2),High
Story,Cleanse Group_subgroup dataset,"Read raw Group_subgroup data from S3, count nulls per column, replace nulls with 'NA' marker, drop duplicate records, load cleansed data into Redshift staging table bootcamp.group_subgroup.",Data Ingestion & Cleansing,3,Sprint 2 - Implementation & Testing (Week 2),High
Story,Cleanse Hospital dataset,"Read raw Hospital data from S3, count nulls per column, replace nulls with 'NA' marker, drop duplicate records, load cleansed data into Redshift staging table bootcamp.hospital.",Data Ingestion & Cleansing,3,Sprint 2 - Implementation & Testing (Week 2),High
Task,Implement PySpark module for UC-1,Build uc01_*.py to compute: Disease with the maximum number of claims. Write result to Project-Output.out_disease_max_claims.,Use Case Result Generation,,Sprint 2 - Implementation & Testing (Week 2),Medium
Task,Implement PySpark module for UC-2,Build uc02_*.py to compute: Subscribers under age 30 enrolled in a subgroup. Write result to Project-Output.out_subscribers_under30_subgroup.,Use Case Result Generation,,Sprint 2 - Implementation & Testing (Week 2),Medium
Task,Implement PySpark module for UC-3,Build uc03_*.py to compute: Group with the maximum number of subgroups. Write result to Project-Output.out_group_max_subgroups.,Use Case Result Generation,,Sprint 2 - Implementation & Testing (Week 2),Medium
Task,Implement PySpark module for UC-4,Build uc04_*.py to compute: Hospital serving the most patients. Write result to Project-Output.out_hospital_most_patients.,Use Case Result Generation,,Sprint 2 - Implementation & Testing (Week 2),Medium
Task,Implement PySpark module for UC-5,Build uc05_*.py to compute: Subgroups with the most subscriptions. Write result to Project-Output.out_subgroup_most_subscriptions.,Use Case Result Generation,,Sprint 2 - Implementation & Testing (Week 2),Medium
Task,Implement PySpark module for UC-6,Build uc06_*.py to compute: Total number of rejected claims. Write result to Project-Output.out_claims_rejected_total.,Use Case Result Generation,,Sprint 2 - Implementation & Testing (Week 2),Medium
Task,Implement PySpark module for UC-7,Build uc07_*.py to compute: City generating the most claims. Write result to Project-Output.out_city_most_claims.,Use Case Result Generation,,Sprint 2 - Implementation & Testing (Week 2),Medium
Task,Implement PySpark module for UC-8,Build uc08_*.py to compute: Government vs. Private policy split by group. Write result to Project-Output.out_policy_type_counts.,Use Case Result Generation,,Sprint 2 - Implementation & Testing (Week 2),Medium
Task,Implement PySpark module for UC-9,Build uc09_*.py to compute: Average monthly premium paid by subscribers. Write result to Project-Output.out_avg_monthly_premium.,Use Case Result Generation,,Sprint 2 - Implementation & Testing (Week 2),Medium
Task,Implement PySpark module for UC-10,Build uc10_*.py to compute: Most profitable group. Write result to Project-Output.out_group_most_profitable.,Use Case Result Generation,,Sprint 2 - Implementation & Testing (Week 2),Medium
Task,Implement PySpark module for UC-11,Build uc11_*.py to compute: Patients under 18 admitted for cancer. Write result to Project-Output.out_patients_under18_cancer.,Use Case Result Generation,,Sprint 2 - Implementation & Testing (Week 2),Medium
Task,Implement PySpark module for UC-12,"Build uc12_*.py to compute: Cashless patients with charges >= Rs. 50,000. Write result to Project-Output.out_cashless_high_charges.",Use Case Result Generation,,Sprint 2 - Implementation & Testing (Week 2),Medium
Task,Implement PySpark module for UC-13,Build uc13_*.py to compute: Female patients over 40 with knee surgery (past year). Write result to Project-Output.out_female_over40_knee_surgery.,Use Case Result Generation,,Sprint 2 - Implementation & Testing (Week 2),Medium
Story,Validate data cleansing output,Verify null counts are zero after cleansing (except intentionally NA-marked fields) and no duplicate records remain in any staging table.,Testing & QA,3,Sprint 2 - Implementation & Testing (Week 2),High
Story,Validate use case outputs against sample data,Manually verify each of the 13 use case outputs against a small sample slice of source data to confirm correctness.,Testing & QA,5,Sprint 2 - Implementation & Testing (Week 2),High
Story,Schema validation,Confirm PK/FK integrity across staging tables and confirm all 13 output tables exist in Project-Output schema with correct row counts.,Testing & QA,3,Sprint 2 - Implementation & Testing (Week 2),High
Story,Push code to GitHub via PyCharm,"Commit and push cleansing and use case modules to the PySpark Source Code repo; commit RSD, SDD, schema doc, and Jira exports to the Documents repo.",Deployment & Presentation,2,Sprint 2 - Implementation & Testing (Week 2),Medium
Story,Deploy and run pipeline on AWS EMR / Databricks,Execute the full pipeline (cleansing -> staging -> use cases -> Project-Output) in the production-like environment.,Deployment & Presentation,3,Sprint 2 - Implementation & Testing (Week 2),High
Story,Create Databricks visualizations for results,Build charts/snapshots for key use case outputs to include in the live presentation.,Deployment & Presentation,2,Sprint 2 - Implementation & Testing (Week 2),Medium
Story,Prepare and deliver live class presentation,"Present use case explanations, solution design, and required screenshots to the class.",Deployment & Presentation,3,Sprint 2 - Implementation & Testing (Week 2),High
